Country,China,,,
,,,,
,Sum of Rent_USD,Sum of Tuition_USD,Sum of Visa_Fee_USD,GRAND TOTAL
Beijing,"$2,350.00 ","$26,300.00 ",$420.00 ,"$29,070.00 "
Chengdu,$400.00 ,"$6,100.00 ",$140.00 ,"$6,640.00 "
Guangzhou,$480.00 ,"$6,900.00 ",$140.00 ,"$7,520.00 "
Hangzhou,$550.00 ,"$7,500.00 ",$140.00 ,"$8,190.00 "
Nanjing,$500.00 ,"$7,200.00 ",$140.00 ,"$7,840.00 "
Shanghai,"$1,420.00 ","$16,000.00 ",$280.00 ,"$17,700.00 "
Shenzhen,$800.00 ,"$8,200.00 ",$140.00 ,"$9,140.00 "
Wuhan,$450.00 ,"$6,500.00 ",$140.00 ,"$7,090.00 "
Xi'an,$420.00 ,"$6,300.00 ",$140.00 ,"$6,860.00 "
,,,,
,,,,
,,,,
Country,Russia,,,
,,,,
Row Labels,Sum of Rent_USD,Sum of Tuition_USD,Sum of Visa_Fee_USD,GRAND TOTAL
Kazan,$380.00 ,"$4,500.00 ",$160.00 ,"$5,040.00 "
Moscow,"$1,300.00 ","$9,400.00 ",$280.00 ,"$10,980.00 "
Novosibirsk,$400.00 ,"$4,800.00 ",$160.00 ,"$5,360.00 "
Rostov-on-Don,$350.00 ,"$4,200.00 ",$160.00 ,"$4,710.00 "
Saint Petersburg,$550.00 ,"$5,000.00 ",$160.00 ,"$5,710.00 "
Samara,$370.00 ,"$4,400.00 ",$160.00 ,"$4,930.00 "
Tomsk,$350.00 ,"$4,600.00 ",$160.00 ,"$5,110.00 "
Yekaterinburg,$400.00 ,"$4,700.00 ",$160.00 ,"$5,260.00 "
,,,,